design	study_primary	phenotype_primary	dependence_type	study_secondary	cohort	model_adjustment	model_context	phenotype_secondary	variable	variants	summary	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute
primary_versus_oestradiol_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_oestradiol_free_imputation_log	female_perimenopause	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1115965	(rg: -0.0565; 95% CI: -0.234 ... 0.121)	-0.0565	0.0905	0.17738	-0.234 ... 0.121	0.5327	-0.23388	0.12088	1	0	0.0565
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_oestradiol_imputation	female_perimenopause	adjust	joint	oestradiol_imputation	oestradiol_imputation	1115965	(rg: -0.0718; 95% CI: -0.307 ... 0.163)	-0.0718	0.1199	0.235004	-0.307 ... 0.163	0.5492	-0.306804	0.163204	1	0	0.0718
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_oestradiol_imputation	female_perimenopause	unadjust	joint	oestradiol_imputation	oestradiol_imputation	1115965	(rg: -0.0441; 95% CI: -0.256 ... 0.168)	-0.0441	0.1081	0.211876	-0.256 ... 0.168	0.6837	-0.255976	0.167776	1	0	0.0441
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_oestradiol_log	female_perimenopause	adjust	joint	oestradiol_log	oestradiol_log	1115966	(rg: 0.0204; 95% CI: -0.487 ... 0.528)	0.0204	0.2588	0.507248	-0.487 ... 0.528	0.937	-0.486848	0.527648	1	0	0.0204
primary_versus_oestradiol_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_oestradiol_log	female_perimenopause	unadjust	joint	oestradiol_log	oestradiol_log	1115966	(rg: 0.035; 95% CI: -0.339 ... 0.409)	0.035	0.1909	0.374164	-0.339 ... 0.409	0.8543	-0.339164	0.409164	1	0	0.035
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_oestradiol_imputation_log	female_perimenopause	adjust	joint	oestradiol_imputation_log	oestradiol_priority	1115965	(rg: -0.0318; 95% CI: -0.203 ... 0.139)	-0.0318	0.0872	0.170912	-0.203 ... 0.139	0.7152	-0.202712	0.139112	1	0	0.0318
primary_versus_oestradiol_linear_2	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_oestradiol_imputation_log	female_perimenopause	unadjust	joint	oestradiol_imputation_log	oestradiol_priority	1115965	(rg: -0.0123; 95% CI: -0.184 ... 0.159)	-0.0123	0.0874	0.171304	-0.184 ... 0.159	0.8881	-0.183604	0.159004	1	0	0.0123
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_steroid_globulin_imputation_log	female_perimenopause	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: 0.0386; 95% CI: -0.063 ... 0.14)	0.0386	0.0516	0.101136	-0.063 ... 0.14	0.4543	-0.062536	0.139736	1	0	0.0386
primary_versus_steroid_globulin_linear_1	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_steroid_globulin_imputation_log	female_perimenopause	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1115965	(rg: 0.0904; 95% CI: -0.01 ... 0.19)	0.0904	0.051	0.09996	-0.01 ... 0.19	0.076	-0.00956	0.19036	1	0	0.0904
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_testosterone_bioavailable_imputation_log	female_perimenopause	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115965	(rg: -0.0149; 95% CI: -0.113 ... 0.083)	-0.0149	0.0502	0.098392	-0.113 ... 0.083	0.7673	-0.113292	0.083492	1	0	0.0149
primary_versus_testosterone_bioavailable_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_testosterone_bioavailable_imputation_log	female_perimenopause	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1115965	(rg: -0.0506; 95% CI: -0.145 ... 0.044)	-0.0506	0.0483	0.094668	-0.145 ... 0.044	0.2947	-0.145268	0.044068	1	0	0.0506
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_testosterone_free_imputation_log	female_perimenopause	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115965	(rg: -0.0188; 95% CI: -0.117 ... 0.079)	-0.0188	0.0501	0.098196	-0.117 ... 0.079	0.7071	-0.116996	0.079396	1	0	0.0188
primary_versus_testosterone_free_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_testosterone_free_imputation_log	female_perimenopause	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1115965	(rg: -0.0576; 95% CI: -0.151 ... 0.036)	-0.0576	0.0479	0.093884	-0.151 ... 0.036	0.2288	-0.151484	0.036284	1	0	0.0576
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_testosterone_imputation	female_perimenopause	adjust	joint	testosterone_imputation	testosterone_imputation	1115965	(rg: -0.0159; 95% CI: -0.123 ... 0.092)	-0.0159	0.0548	0.107408	-0.123 ... 0.092	0.7714	-0.123308	0.091508	1	0	0.0159
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_testosterone_imputation	female_perimenopause	unadjust	joint	testosterone_imputation	testosterone_imputation	1115965	(rg: -0.0353; 95% CI: -0.143 ... 0.073)	-0.0353	0.0551	0.107996	-0.143 ... 0.073	0.5224	-0.143296	0.072696	1	0	0.0353
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_joint_1_testosterone_imputation_log	female_perimenopause	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115965	(rg: 0.0003; 95% CI: -0.107 ... 0.108)	0.0003	0.0548	0.107408	-0.107 ... 0.108	0.9949	-0.107108	0.107708	1	0	0.0003
primary_versus_testosterone_linear	34002096_mullins_2021_bpd1	bipolar_disorder_type_1	logistic	female_perimenopause_unadjust_testosterone_imputation_log	female_perimenopause	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1115965	(rg: -0.015; 95% CI: -0.118 ... 0.088)	-0.015	0.0523	0.102508	-0.118 ... 0.088	0.7738	-0.117508	0.087508	1	0	0.015
