design	study_primary	phenotype_primary	dependence_type	study_secondary	cohort	model_adjustment	model_context	phenotype_secondary	variable	variants	summary	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_testosterone_free_imputation_log	female	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: -0.0164; 95% CI: -0.066 ... 0.033)	-0.0164	0.0252	0.049392	-0.066 ... 0.033	0.5158	-0.065792	0.032992	1	0	0.0164
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_testosterone_imputation	female	adjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.0332; 95% CI: -0.016 ... 0.083)	0.0332	0.0252	0.049392	-0.016 ... 0.083	0.1874	-0.016192	0.082592	1	0	0.0332
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_testosterone_imputation	female	unadjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.0197; 95% CI: -0.03 ... 0.069)	0.0197	0.0253	0.049588	-0.03 ... 0.069	0.4359	-0.029888	0.069288	1	0	0.0197
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_testosterone_imputation_log	female	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.0336; 95% CI: -0.017 ... 0.084)	0.0336	0.0257	0.050372	-0.017 ... 0.084	0.1915	-0.016772	0.083972	1	0	0.0336
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_testosterone_imputation_log	female	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.0181; 95% CI: -0.033 ... 0.069)	0.0181	0.0259	0.050764	-0.033 ... 0.069	0.4848	-0.032664	0.068864	1	0	0.0181
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_joint_1_testosterone_log	female	adjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.0138; 95% CI: -0.038 ... 0.065)	0.0138	0.0262	0.051352	-0.038 ... 0.065	0.5983	-0.037552	0.065152	1	0	0.0138
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_unadjust_testosterone_log	female	unadjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.0084; 95% CI: -0.043 ... 0.06)	0.0084	0.0261	0.051156	-0.043 ... 0.06	0.7481	-0.042756	0.059556	1	0	0.0084
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_albumin_imputation	female_menstruation_regular	adjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.0358; 95% CI: -0.056 ... 0.128)	0.0358	0.0469	0.091924	-0.056 ... 0.128	0.4451	-0.056124	0.127724	1	0	0.0358
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_albumin_imputation	female_menstruation_regular	unadjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.0584; 95% CI: -0.034 ... 0.151)	0.0584	0.0472	0.092512	-0.034 ... 0.151	0.2161	-0.034112	0.150912	1	0	0.0584
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_oestradiol_bioavailable_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.1425; 95% CI: -0.436 ... 0.151)	-0.1425	0.1495	0.29302	-0.436 ... 0.151	0.3405	-0.43552	0.15052	1	0	0.1425
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_oestradiol_bioavailable_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.0977; 95% CI: -0.344 ... 0.149)	-0.0977	0.1259	0.246764	-0.344 ... 0.149	0.4379	-0.344464	0.149064	1	0	0.0977
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_oestradiol_free_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: -0.194; 95% CI: -0.603 ... 0.215)	-0.194	0.2085	0.40866	-0.603 ... 0.215	0.3522	-0.60266	0.21466	1	0	0.194
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_oestradiol_free_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: -0.1411; 95% CI: -0.455 ... 0.173)	-0.1411	0.1604	0.314384	-0.455 ... 0.173	0.3789	-0.455484	0.173284	1	0	0.1411
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_oestradiol_imputation	female_menstruation_regular	adjust	joint	oestradiol_imputation	oestradiol_imputation	1173302	(rg: -0.0631; 95% CI: -0.264 ... 0.137)	-0.0631	0.1023	0.200508	-0.264 ... 0.137	0.5374	-0.263608	0.137408	1	0	0.0631
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_oestradiol_imputation	female_menstruation_regular	unadjust	joint	oestradiol_imputation	oestradiol_imputation	1173302	(rg: -0.0454; 95% CI: -0.237 ... 0.146)	-0.0454	0.0976	0.191296	-0.237 ... 0.146	0.6421	-0.236696	0.145896	1	0	0.0454
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_oestradiol_log	female_menstruation_regular	adjust	joint	oestradiol_log	oestradiol_log	1173302	(rg: 0.0232; 95% CI: -0.262 ... 0.308)	0.0232	0.1455	0.28518	-0.262 ... 0.308	0.8731	-0.26198	0.30838	1	0	0.0232
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_oestradiol_log	female_menstruation_regular	unadjust	joint	oestradiol_log	oestradiol_log	1173302	(rg: 0.0021; 95% CI: -0.26 ... 0.264)	0.0021	0.1337	0.262052	-0.26 ... 0.264	0.9876	-0.259952	0.264152	1	0	0.0021
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_oestradiol_imputation_log	female_menstruation_regular	adjust	joint	oestradiol_imputation_log	oestradiol_priority	1173302	(rg: -0.129; 95% CI: -0.339 ... 0.081)	-0.129	0.107	0.20972	-0.339 ... 0.081	0.2279	-0.33872	0.08072	1	0	0.129
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_oestradiol_imputation_log	female_menstruation_regular	unadjust	joint	oestradiol_imputation_log	oestradiol_priority	1173302	(rg: -0.0601; 95% CI: -0.222 ... 0.102)	-0.0601	0.0827	0.162092	-0.222 ... 0.102	0.4677	-0.222192	0.101992	1	0	0.0601
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	female_menstruation_regular	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.075; 95% CI: -0.004 ... 0.154)	0.075	0.0404	0.079184	-0.004 ... 0.154	0.0633	-0.004184	0.154184	1	0	0.075
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	female_menstruation_regular	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.0884; 95% CI: 0.014 ... 0.163)	0.0884	0.0379	0.074284	0.014 ... 0.163	0.0197	0.014116	0.162684	1	1	0.0884
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_testosterone_bioavailable_imputation_log	female_menstruation_regular	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: 0.0683; 95% CI: -0.023 ... 0.16)	0.0683	0.0466	0.091336	-0.023 ... 0.16	0.1421	-0.023036	0.159636	1	0	0.0683
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_testosterone_bioavailable_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: 0.0517; 95% CI: -0.041 ... 0.145)	0.0517	0.0475	0.0931	-0.041 ... 0.145	0.2762	-0.0414	0.1448	1	0	0.0517
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_testosterone_free_imputation_log	female_menstruation_regular	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: 0.0651; 95% CI: -0.023 ... 0.153)	0.0651	0.0448	0.087808	-0.023 ... 0.153	0.1462	-0.022708	0.152908	1	0	0.0651
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_testosterone_free_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: 0.0458; 95% CI: -0.042 ... 0.134)	0.0458	0.0449	0.088004	-0.042 ... 0.134	0.3078	-0.042204	0.133804	1	0	0.0458
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_testosterone_imputation	female_menstruation_regular	adjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.1185; 95% CI: 0.015 ... 0.222)	0.1185	0.0527	0.103292	0.015 ... 0.222	0.0246	0.015208	0.221792	1	1	0.1185
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_testosterone_imputation	female_menstruation_regular	unadjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.121; 95% CI: 0.019 ... 0.223)	0.121	0.0519	0.101724	0.019 ... 0.223	0.0198	0.019276	0.222724	1	1	0.121
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_testosterone_imputation_log	female_menstruation_regular	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.0937; 95% CI: -0.001 ... 0.188)	0.0937	0.0482	0.094472	-0.001 ... 0.188	0.0516	-0.000772	0.188172	1	0	0.0937
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_testosterone_imputation_log	female_menstruation_regular	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.0816; 95% CI: -0.017 ... 0.18)	0.0816	0.0502	0.098392	-0.017 ... 0.18	0.1041	-0.016792	0.179992	1	0	0.0816
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_joint_1_testosterone_log	female_menstruation_regular	adjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.1078; 95% CI: -0.008 ... 0.224)	0.1078	0.0592	0.116032	-0.008 ... 0.224	0.0684	-0.008232	0.223832	1	0	0.1078
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_menstruation_regular_unadjust_testosterone_log	female_menstruation_regular	unadjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.1006; 95% CI: -0.019 ... 0.22)	0.1006	0.0611	0.119756	-0.019 ... 0.22	0.0994	-0.019156	0.220356	1	0	0.1006
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_albumin_imputation	female_perimenopause	adjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: -0.0151; 95% CI: -0.113 ... 0.083)	-0.0151	0.05	0.098	-0.113 ... 0.083	0.7629	-0.1131	0.0829	1	0	0.0151
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_albumin_imputation	female_perimenopause	unadjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.0106; 95% CI: -0.089 ... 0.11)	0.0106	0.0507	0.099372	-0.089 ... 0.11	0.8346	-0.088772	0.109972	1	0	0.0106
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_oestradiol_bioavailable_imputation_log	female_perimenopause	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: 0.0127; 95% CI: -0.152 ... 0.178)	0.0127	0.0842	0.165032	-0.152 ... 0.178	0.8805	-0.152332	0.177732	1	0	0.0127
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_oestradiol_bioavailable_imputation_log	female_perimenopause	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: 0.0225; 95% CI: -0.144 ... 0.189)	0.0225	0.0851	0.166796	-0.144 ... 0.189	0.7914	-0.144296	0.189296	1	0	0.0225
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_oestradiol_free_imputation_log	female_perimenopause	adjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: 0.0229; 95% CI: -0.131 ... 0.177)	0.0229	0.0786	0.154056	-0.131 ... 0.177	0.7711	-0.131156	0.176956	1	0	0.0229
primary_versus_oestradiol_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_oestradiol_free_imputation_log	female_perimenopause	unadjust	joint	oestradiol_free_imputation_log	oestradiol_free_imputation_log	1173302	(rg: 0.0284; 95% CI: -0.126 ... 0.182)	0.0284	0.0786	0.154056	-0.126 ... 0.182	0.718	-0.125656	0.182456	1	0	0.0284
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_oestradiol_imputation	female_perimenopause	adjust	joint	oestradiol_imputation	oestradiol_imputation	1173302	(rg: 0.0222; 95% CI: -0.167 ... 0.211)	0.0222	0.0964	0.188944	-0.167 ... 0.211	0.8181	-0.166744	0.211144	1	0	0.0222
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_oestradiol_imputation	female_perimenopause	unadjust	joint	oestradiol_imputation	oestradiol_imputation	1173302	(rg: 0.0526; 95% CI: -0.134 ... 0.24)	0.0526	0.0954	0.186984	-0.134 ... 0.24	0.5818	-0.134384	0.239584	1	0	0.0526
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_oestradiol_log	female_perimenopause	adjust	joint	oestradiol_log	oestradiol_log	1173302	(rg: 0.0175; 95% CI: -0.379 ... 0.414)	0.0175	0.2023	0.396508	-0.379 ... 0.414	0.9312	-0.379008	0.414008	1	0	0.0175
primary_versus_oestradiol_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_oestradiol_log	female_perimenopause	unadjust	joint	oestradiol_log	oestradiol_log	1173302	(rg: 0.057; 95% CI: -0.313 ... 0.427)	0.057	0.1887	0.369852	-0.313 ... 0.427	0.7628	-0.312852	0.426852	1	0	0.057
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_oestradiol_imputation_log	female_perimenopause	adjust	joint	oestradiol_imputation_log	oestradiol_priority	1173302	(rg: -0.005; 95% CI: -0.15 ... 0.14)	-0.005	0.0738	0.144648	-0.15 ... 0.14	0.9464	-0.149648	0.139648	1	0	0.005
primary_versus_oestradiol_linear_2	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_oestradiol_imputation_log	female_perimenopause	unadjust	joint	oestradiol_imputation_log	oestradiol_priority	1173302	(rg: 0.0252; 95% CI: -0.128 ... 0.178)	0.0252	0.0781	0.153076	-0.128 ... 0.178	0.7464	-0.127876	0.178276	1	0	0.0252
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_steroid_globulin_imputation_log	female_perimenopause	adjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.0398; 95% CI: -0.054 ... 0.134)	0.0398	0.0481	0.094276	-0.054 ... 0.134	0.408	-0.054476	0.134076	1	0	0.0398
primary_versus_steroid_globulin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_steroid_globulin_imputation_log	female_perimenopause	unadjust	joint	steroid_globulin_imputation_log	steroid_globulin_imputation_log	1173302	(rg: 0.085; 95% CI: -0.002 ... 0.172)	0.085	0.0442	0.086632	-0.002 ... 0.172	0.0546	-0.001632	0.171632	1	0	0.085
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_testosterone_bioavailable_imputation_log	female_perimenopause	adjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: 0.1198; 95% CI: 0.031 ... 0.209)	0.1198	0.0455	0.08918	0.031 ... 0.209	0.0084	0.03062	0.20898	1	1	0.1198
primary_versus_testosterone_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_testosterone_bioavailable_imputation_log	female_perimenopause	unadjust	joint	testosterone_bioavailable_imputation_log	testosterone_bioavailable_imputation_log	1173302	(rg: 0.089; 95% CI: 0.0 ... 0.178)	0.089	0.0454	0.088984	0.0 ... 0.178	0.0498	1.60E-05	0.177984	1	1	0.089
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_testosterone_free_imputation_log	female_perimenopause	adjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: 0.1224; 95% CI: 0.034 ... 0.211)	0.1224	0.0451	0.088396	0.034 ... 0.211	0.0067	0.034004	0.210796	1	1	0.1224
primary_versus_testosterone_free_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_testosterone_free_imputation_log	female_perimenopause	unadjust	joint	testosterone_free_imputation_log	testosterone_free_imputation_log	1173302	(rg: 0.0816; 95% CI: -0.007 ... 0.17)	0.0816	0.045	0.0882	-0.007 ... 0.17	0.0698	-0.0066	0.1698	1	0	0.0816
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_testosterone_imputation	female_perimenopause	adjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.1418; 95% CI: 0.043 ... 0.241)	0.1418	0.0506	0.099176	0.043 ... 0.241	0.0051	0.042624	0.240976	1	1	0.1418
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_testosterone_imputation	female_perimenopause	unadjust	joint	testosterone_imputation	testosterone_imputation	1173302	(rg: 0.1367; 95% CI: 0.037 ... 0.236)	0.1367	0.0507	0.099372	0.037 ... 0.236	0.007	0.037328	0.236072	1	1	0.1367
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_testosterone_imputation_log	female_perimenopause	adjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.1447; 95% CI: 0.044 ... 0.246)	0.1447	0.0515	0.10094	0.044 ... 0.246	0.005	0.04376	0.24564	1	1	0.1447
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_testosterone_imputation_log	female_perimenopause	unadjust	joint	testosterone_imputation_log	testosterone_imputation_log	1173302	(rg: 0.1416; 95% CI: 0.041 ... 0.242)	0.1416	0.0513	0.100548	0.041 ... 0.242	0.0058	0.041052	0.242148	1	1	0.1416
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_joint_1_testosterone_log	female_perimenopause	adjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.164; 95% CI: 0.025 ... 0.303)	0.164	0.0709	0.138964	0.025 ... 0.303	0.0208	0.025036	0.302964	1	1	0.164
primary_versus_testosterone_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_perimenopause_unadjust_testosterone_log	female_perimenopause	unadjust	joint	testosterone_log	testosterone_log	1173302	(rg: 0.1551; 95% CI: 0.012 ... 0.299)	0.1551	0.0732	0.143472	0.012 ... 0.299	0.0342	0.011628	0.298572	1	1	0.1551
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_postmenopause_joint_1_albumin_imputation	female_postmenopause	adjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.102; 95% CI: 0.04 ... 0.164)	0.102	0.0315	0.06174	0.04 ... 0.164	0.0012	0.04026	0.16374	1	1	0.102
primary_versus_albumin_linear_1	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_postmenopause_unadjust_albumin_imputation	female_postmenopause	unadjust	joint	albumin_imputation	albumin_imputation	1173302	(rg: 0.1133; 95% CI: 0.049 ... 0.177)	0.1133	0.0326	0.063896	0.049 ... 0.177	0.0005	0.049404	0.177196	1	1	0.1133
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_postmenopause_joint_1_oestradiol_bioavailable_imputation_log	female_postmenopause	adjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.0533; 95% CI: -0.123 ... 0.016)	-0.0533	0.0355	0.06958	-0.123 ... 0.016	0.1333	-0.12288	0.01628	1	0	0.0533
primary_versus_oestradiol_bioavailable_linear	30643251_liu_2019_alcohol_all	alcohol_quantity	linear	female_postmenopause_unadjust_oestradiol_bioavailable_imputation_log	female_postmenopause	unadjust	joint	oestradiol_bioavailable_imputation_log	oestradiol_bioavailable_imputation_log	1173302	(rg: -0.0617; 95% CI: -0.129 ... 0.006)	-0.0617	0.0344	0.067424	-0.129 ... 0.006	0.0727	-0.129124	0.005724	1	0	0.0617
