design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary
primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_all	34255042_schmitz_2021_male	0.0168 (0.0433)	(rg: 0.0168; 95% CI: -0.0681 ... 0.1017)	919909.0	0.0168	0.0433	0.084868	-0.0681 ... 0.1017	0.6971	-0.068068	0.101668	1.0	0.0	0.0168	male		
primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_no_ukb	34255042_schmitz_2021_female	-0.1131 (0.1173)	(rg: -0.1131; 95% CI: -0.343 ... 0.1168)	919928.0	-0.1131	0.1173	0.229908	-0.343 ... 0.1168	0.3348	-0.343008	0.116808	1.0	0.0	0.1131	female		
primaries_against_34255042_schmitz_2021	30643251_liu_2019_alcohol_no_ukb	34255042_schmitz_2021_male	-0.0096 (0.0646)	(rg: -0.0096; 95% CI: -0.1362 ... 0.117)	919928.0	-0.0096	0.0646	0.126616	-0.1362 ... 0.117	0.8822	-0.136216	0.11701600000000001	1.0	0.0	0.0096	male		
primaries_against_34255042_schmitz_2021	30718901_howard_2019	34255042_schmitz_2021_female	0.0074 (0.0756)	(rg: 0.0074; 95% CI: -0.1408 ... 0.1556)	924621.0	0.0074	0.0756	0.148176	-0.1408 ... 0.1556	0.9215	-0.140776	0.155576	1.0	0.0	0.0074	female		
primaries_against_34255042_schmitz_2021	30718901_howard_2019	34255042_schmitz_2021_male	-0.0716 (0.0441)	(rg: -0.0716; 95% CI: -0.158 ... 0.0148)	924621.0	-0.0716	0.0441	0.086436	-0.158 ... 0.0148	0.1045	-0.158036	0.014836000000000002	1.0	0.0	0.0716	male		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_all	34255042_schmitz_2021_female	0.0103 (0.068)	(rg: 0.0103; 95% CI: -0.123 ... 0.1436)	899779.0	0.0103	0.068	0.13328	-0.123 ... 0.1436	0.8795	-0.12298	0.14358	1.0	0.0	0.0103	female		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_all	34255042_schmitz_2021_male	-0.0098 (0.0437)	(rg: -0.0098; 95% CI: -0.0955 ... 0.0759)	899779.0	-0.0098	0.0437	0.085652	-0.0955 ... 0.0759	0.823	-0.09545200000000001	0.075852	1.0	0.0	0.0098	male		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd1	34255042_schmitz_2021_female	0.0554 (0.0762)	(rg: 0.0554; 95% CI: -0.094 ... 0.2048)	884105.0	0.0554	0.0762	0.149352	-0.094 ... 0.2048	0.4673	-0.09395200000000001	0.20475200000000002	1.0	0.0	0.0554	female		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd1	34255042_schmitz_2021_male	0.0235 (0.0429)	(rg: 0.0235; 95% CI: -0.0606 ... 0.1076)	884105.0	0.0235	0.0429	0.084084	-0.0606 ... 0.1076	0.584	-0.060584000000000006	0.10758400000000001	1.0	0.0	0.0235	male		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd2	34255042_schmitz_2021_female	0.1031 (0.1477)	(rg: 0.1031; 95% CI: -0.1864 ... 0.3926)	883615.0	0.1031	0.1477	0.28949199999999997	-0.1864 ... 0.3926	0.4852	-0.18639199999999997	0.39259199999999994	1.0	0.0	0.1031	female		
primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd2	34255042_schmitz_2021_male	-0.0091 (0.082)	(rg: -0.0091; 95% CI: -0.1698 ... 0.1516)	883615.0	-0.0091	0.082	0.16072	-0.1698 ... 0.1516	0.9111	-0.16982	0.15162	1.0	0.0	0.0091	male		
primaries_against_34255042_schmitz_2021	34255042_schmitz_2021_female	34255042_schmitz_2021_female	1.0 (0.0)	(rg: 1.0; 95% CI: 1.0 ... 1.0)	927621.0	1.0	2.7458e-06	5.381768e-06	1.0 ... 1.0	0.0	0.999994618232	1.000005381768	0.0	1.0	1.0	female		
primaries_against_34255042_schmitz_2021	34255042_schmitz_2021_female	34255042_schmitz_2021_male	0.3429 (0.1741)	(rg: 0.3429; 95% CI: 0.0017 ... 0.6841)	927621.0	0.3429	0.1741	0.341236	0.0017 ... 0.6841	0.0489	0.0016639999999999988	0.684136	1.0	1.0	0.3429	male		
primaries_against_34255042_schmitz_2021	34255042_schmitz_2021_male	34255042_schmitz_2021_female	0.3429 (0.1741)	(rg: 0.3429; 95% CI: 0.0017 ... 0.6841)	927621.0	0.3429	0.1741	0.341236	0.0017 ... 0.6841	0.0489	0.0016639999999999988	0.684136	1.0	1.0	0.3429	female		
primaries_against_34255042_schmitz_2021	34255042_schmitz_2021_male	34255042_schmitz_2021_male	0.9999 (0.0)	(rg: 0.9999; 95% CI: 0.9998 ... 1.0)	927621.0	0.9999	4.703e-05	9.21788e-05	0.9998 ... 1.0	0.0	0.9998078212	0.9999921788	1.0	1.0	0.9999	male		
comparisons_sex_stage_life	female_joint_1_albumin_imputation	male_joint_1_albumin_imputation	0.9614 (0.0211)	(rg: 0.9614; 95% CI: 0.92 ... 1.0028)	1182374.0	0.9614	0.0211	0.041356000000000004	0.92 ... 1.0028	0.0	0.9200440000000001	1.002756	0.0	1.0	0.9614	male	joint_1	albumin_imputation
comparisons_sex_stage_life	female_joint_1_oestradiol_bioavailable_imputation_log	male_joint_1_oestradiol_bioavailable_imputation_log	0.7096 (0.0781)	(rg: 0.7096; 95% CI: 0.5565 ... 0.8627)	1182374.0	0.7096	0.0781	0.153076	0.5565 ... 0.8627	1.0557e-19	0.556524	0.862676	1.0	1.0	0.7096	male	joint_1	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_joint_1_oestradiol_detection	male_joint_1_oestradiol_detection	0.1833 (0.1117)	(rg: 0.1833; 95% CI: -0.0356 ... 0.4022)	1182370.0	0.1833	0.1117	0.218932	-0.0356 ... 0.4022	0.1008	-0.035632	0.402232	1.0	0.0	0.1833	male	joint_1	oestradiol_detection
comparisons_sex_stage_life	female_joint_1_oestradiol_free_imputation_log	male_joint_1_oestradiol_free_imputation_log	0.6505 (0.0948)	(rg: 0.6505; 95% CI: 0.4647 ... 0.8363)	1182374.0	0.6505	0.0948	0.185808	0.4647 ... 0.8363	6.7141e-12	0.464692	0.8363079999999999	1.0	1.0	0.6505	male	joint_1	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_joint_1_steroid_globulin_imputation_log	male_joint_1_steroid_globulin_imputation_log	0.8831 (0.0328)	(rg: 0.8831; 95% CI: 0.8188 ... 0.9474)	1182374.0	0.8831	0.0328	0.064288	0.8188 ... 0.9474	9.4118e-160	0.818812	0.947388	1.0	1.0	0.8831	male	joint_1	steroid_globulin_imputation_log
comparisons_sex_stage_life	female_joint_1_testosterone_bioavailable_imputation_log	male_joint_1_testosterone_bioavailable_imputation_log	-0.0463 (0.0334)	(rg: -0.0463; 95% CI: -0.1118 ... 0.0192)	1182374.0	-0.0463	0.0334	0.065464	-0.1118 ... 0.0192	0.1652	-0.111764	0.019163999999999994	1.0	0.0	0.0463	male	joint_1	testosterone_bioavailable_imputation_log
comparisons_sex_stage_life	female_joint_1_testosterone_free_imputation_log	male_joint_1_testosterone_free_imputation_log	-0.0347 (0.0317)	(rg: -0.0347; 95% CI: -0.0968 ... 0.0274)	1182374.0	-0.0347	0.0317	0.062132	-0.0968 ... 0.0274	0.273	-0.096832	0.027431999999999998	1.0	0.0	0.0347	male	joint_1	testosterone_free_imputation_log
comparisons_sex_stage_life	female_joint_1_testosterone_imputation_log	male_joint_1_testosterone_imputation_log	0.0883 (0.0453)	(rg: 0.0883; 95% CI: -0.0005 ... 0.1771)	1182374.0	0.0883	0.0453	0.08878799999999999	-0.0005 ... 0.1771	0.0514	-0.00048799999999998844	0.177088	1.0	0.0	0.0883	male	joint_1	testosterone_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_albumin_imputation	female_postmenopause_joint_1_albumin_imputation	0.8406 (0.0699)	(rg: 0.8406; 95% CI: 0.7036 ... 0.9776)	1182373.0	0.8406	0.0699	0.13700400000000001	0.7036 ... 0.9776	2.576e-33	0.703596	0.977604	1.0	1.0	0.8406	female_postmenopause	joint_1	albumin_imputation
comparisons_sex_stage_life	female_menstruation_regular_joint_1_oestradiol_bioavailable_imputation_log	female_postmenopause_joint_1_oestradiol_bioavailable_imputation_log	-0.0662 (0.2314)	(rg: -0.0662; 95% CI: -0.5197 ... 0.3873)	1182373.0	-0.0662	0.2314	0.453544	-0.5197 ... 0.3873	0.7747	-0.519744	0.387344	1.0	0.0	0.0662	female_postmenopause	joint_1	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_oestradiol_detection	female_postmenopause_joint_1_oestradiol_detection	0.494 (0.6205)	(rg: 0.494; 95% CI: -0.7222 ... 1.7102)	1182369.0	0.494	0.6205	1.21618	-0.7222 ... 1.7102	0.426	-0.72218	1.71018	0.0	0.0	0.494	female_postmenopause	joint_1	oestradiol_detection
comparisons_sex_stage_life	female_menstruation_regular_joint_1_oestradiol_free_imputation_log	female_postmenopause_joint_1_oestradiol_free_imputation_log	-0.0338 (0.3221)	(rg: -0.0338; 95% CI: -0.6651 ... 0.5975)	1182373.0	-0.0338	0.3221	0.631316	-0.6651 ... 0.5975	0.9164	-0.665116	0.5975159999999999	1.0	0.0	0.0338	female_postmenopause	joint_1	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_steroid_globulin_imputation_log	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.9136 (0.0492)	(rg: 0.9136; 95% CI: 0.8172 ... 1.01)	1182373.0	0.9136	0.0492	0.096432	0.8172 ... 1.01	8.1002e-77	0.817168	1.010032	0.0	1.0	0.9136	female_postmenopause	joint_1	steroid_globulin_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_testosterone_bioavailable_imputation_log	female_postmenopause_joint_1_testosterone_bioavailable_imputation_log	0.7859 (0.0607)	(rg: 0.7859; 95% CI: 0.6669 ... 0.9049)	1182373.0	0.7859	0.0607	0.118972	0.6669 ... 0.9049	2.5287e-38	0.6669280000000001	0.904872	1.0	1.0	0.7859	female_postmenopause	joint_1	testosterone_bioavailable_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_testosterone_free_imputation_log	female_postmenopause_joint_1_testosterone_free_imputation_log	0.7872 (0.0546)	(rg: 0.7872; 95% CI: 0.6802 ... 0.8942)	1182373.0	0.7872	0.0546	0.107016	0.6802 ... 0.8942	4.5911e-47	0.680184	0.894216	1.0	1.0	0.7872	female_postmenopause	joint_1	testosterone_free_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_joint_1_testosterone_imputation_log	female_postmenopause_joint_1_testosterone_imputation_log	0.7604 (0.0737)	(rg: 0.7604; 95% CI: 0.6159 ... 0.9049)	1182373.0	0.7604	0.0737	0.144452	0.6159 ... 0.9049	6.1529e-25	0.6159479999999999	0.904852	1.0	1.0	0.7604	female_postmenopause	joint_1	testosterone_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_albumin_imputation	female_postmenopause_unadjust_albumin_imputation	0.8886 (0.0709)	(rg: 0.8886; 95% CI: 0.7496 ... 1.0276)	1182373.0	0.8886	0.0709	0.138964	0.7496 ... 1.0276	5.1126e-36	0.749636	1.027564	0.0	1.0	0.8886	female_postmenopause	unadjust	albumin_imputation
comparisons_sex_stage_life	female_menstruation_regular_unadjust_oestradiol_bioavailable_imputation_log	female_postmenopause_unadjust_oestradiol_bioavailable_imputation_log	-0.0076 (0.1772)	(rg: -0.0076; 95% CI: -0.3549 ... 0.3397)	1182373.0	-0.0076	0.1772	0.347312	-0.3549 ... 0.3397	0.9656	-0.354912	0.339712	1.0	0.0	0.0076	female_postmenopause	unadjust	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_oestradiol_detection	female_postmenopause_unadjust_oestradiol_detection	0.1915 (0.3067)	(rg: 0.1915; 95% CI: -0.4096 ... 0.7926)	1182369.0	0.1915	0.3067	0.6011319999999999	-0.4096 ... 0.7926	0.5324	-0.4096319999999999	0.7926319999999999	1.0	0.0	0.1915	female_postmenopause	unadjust	oestradiol_detection
comparisons_sex_stage_life	female_menstruation_regular_unadjust_oestradiol_free_imputation_log	female_postmenopause_unadjust_oestradiol_free_imputation_log	0.0726 (0.2501)	(rg: 0.0726; 95% CI: -0.4176 ... 0.5628)	1182373.0	0.0726	0.2501	0.49019599999999997	-0.4176 ... 0.5628	0.7716	-0.41759599999999997	0.562796	1.0	0.0	0.0726	female_postmenopause	unadjust	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_steroid_globulin_imputation_log	female_postmenopause_unadjust_steroid_globulin_imputation_log	0.9146 (0.0467)	(rg: 0.9146; 95% CI: 0.8231 ... 1.0061)	1182373.0	0.9146	0.0467	0.091532	0.8231 ... 1.0061	1.4023e-85	0.8230679999999999	1.006132	0.0	1.0	0.9146	female_postmenopause	unadjust	steroid_globulin_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_testosterone_bioavailable_imputation_log	female_postmenopause_unadjust_testosterone_bioavailable_imputation_log	0.8076 (0.0599)	(rg: 0.8076; 95% CI: 0.6902 ... 0.925)	1182373.0	0.8076	0.0599	0.11740400000000001	0.6902 ... 0.925	2.0924e-41	0.690196	0.9250039999999999	1.0	1.0	0.8076	female_postmenopause	unadjust	testosterone_bioavailable_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_testosterone_free_imputation_log	female_postmenopause_unadjust_testosterone_free_imputation_log	0.803 (0.0538)	(rg: 0.803; 95% CI: 0.6976 ... 0.9084)	1182373.0	0.803	0.0538	0.105448	0.6976 ... 0.9084	1.958e-50	0.6975520000000001	0.908448	1.0	1.0	0.803	female_postmenopause	unadjust	testosterone_free_imputation_log
comparisons_sex_stage_life	female_menstruation_regular_unadjust_testosterone_imputation_log	female_postmenopause_unadjust_testosterone_imputation_log	0.7865 (0.0747)	(rg: 0.7865; 95% CI: 0.6401 ... 0.9329)	1182373.0	0.7865	0.0747	0.14641200000000001	0.6401 ... 0.9329	6.8438e-26	0.640088	0.932912	1.0	1.0	0.7865	female_postmenopause	unadjust	testosterone_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_albumin_imputation	female_postmenopause_joint_1_albumin_imputation	0.9105 (0.077)	(rg: 0.9105; 95% CI: 0.7596 ... 1.0614)	1182374.0	0.9105	0.077	0.15092	0.7596 ... 1.0614	2.7544e-32	0.7595799999999999	1.06142	0.0	1.0	0.9105	female_postmenopause	joint_1	albumin_imputation
comparisons_sex_stage_life	female_perimenopause_joint_1_albumin_imputation	male_age_middle_joint_1_albumin_imputation	0.9434 (0.1024)	(rg: 0.9434; 95% CI: 0.7427 ... 1.1441)	1182374.0	0.9434	0.1024	0.200704	0.7427 ... 1.1441	3.0563e-20	0.742696	1.144104	0.0	1.0	0.9434	male_age_middle	joint_1	albumin_imputation
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_bioavailable_imputation_log	female_postmenopause_joint_1_oestradiol_bioavailable_imputation_log	0.3781 (0.1531)	(rg: 0.3781; 95% CI: 0.078 ... 0.6782)	1182374.0	0.3781	0.1531	0.300076	0.078 ... 0.6782	0.0135	0.07802399999999998	0.678176	1.0	1.0	0.3781	female_postmenopause	joint_1	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_bioavailable_imputation_log	male_age_middle_joint_1_oestradiol_bioavailable_imputation_log	0.4107 (0.249)	(rg: 0.4107; 95% CI: -0.0773 ... 0.8987)	1182374.0	0.4107	0.249	0.48804	-0.0773 ... 0.8987	0.0991	-0.07733999999999996	0.89874	1.0	0.0	0.4107	male_age_middle	joint_1	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_detection	female_postmenopause_joint_1_oestradiol_detection	0.2869 (0.3358)	(rg: 0.2869; 95% CI: -0.3713 ... 0.9451)	1182372.0	0.2869	0.3358	0.658168	-0.3713 ... 0.9451	0.3928	-0.371268	0.945068	1.0	0.0	0.2869	female_postmenopause	joint_1	oestradiol_detection
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_detection	male_age_middle_joint_1_oestradiol_detection	0.2114 (0.2062)	(rg: 0.2114; 95% CI: -0.1928 ... 0.6156)	1182367.0	0.2114	0.2062	0.40415199999999996	-0.1928 ... 0.6156	0.3052	-0.19275199999999995	0.615552	1.0	0.0	0.2114	male_age_middle	joint_1	oestradiol_detection
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_free_imputation_log	female_postmenopause_joint_1_oestradiol_free_imputation_log	0.2834 (0.1455)	(rg: 0.2834; 95% CI: -0.0018 ... 0.5686)	1182374.0	0.2834	0.1455	0.28518	-0.0018 ... 0.5686	0.0515	-0.0017800000000000038	0.56858	1.0	0.0	0.2834	female_postmenopause	joint_1	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_oestradiol_free_imputation_log	male_age_middle_joint_1_oestradiol_free_imputation_log	0.336 (0.2172)	(rg: 0.336; 95% CI: -0.0897 ... 0.7617)	1182374.0	0.336	0.2172	0.425712	-0.0897 ... 0.7617	0.1218	-0.08971199999999996	0.761712	1.0	0.0	0.336	male_age_middle	joint_1	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_steroid_globulin_imputation_log	female_postmenopause_joint_1_steroid_globulin_imputation_log	0.9723 (0.0524)	(rg: 0.9723; 95% CI: 0.8696 ... 1.075)	1182374.0	0.9723	0.0524	0.102704	0.8696 ... 1.075	6.562e-77	0.869596	1.075004	0.0	1.0	0.9723	female_postmenopause	joint_1	steroid_globulin_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_steroid_globulin_imputation_log	male_age_middle_joint_1_steroid_globulin_imputation_log	0.9161 (0.059)	(rg: 0.9161; 95% CI: 0.8005 ... 1.0317)	1182374.0	0.9161	0.059	0.11563999999999999	0.8005 ... 1.0317	2.0414e-54	0.8004600000000001	1.03174	0.0	1.0	0.9161	male_age_middle	joint_1	steroid_globulin_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_bioavailable_imputation_log	female_postmenopause_joint_1_testosterone_bioavailable_imputation_log	0.8958 (0.0692)	(rg: 0.8958; 95% CI: 0.7602 ... 1.0314)	1182374.0	0.8958	0.0692	0.135632	0.7602 ... 1.0314	2.3235e-38	0.7601680000000001	1.0314320000000001	0.0	1.0	0.8958	female_postmenopause	joint_1	testosterone_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_bioavailable_imputation_log	male_age_middle_joint_1_testosterone_bioavailable_imputation_log	-0.0539 (0.085)	(rg: -0.0539; 95% CI: -0.2205 ... 0.1127)	1182374.0	-0.0539	0.085	0.1666	-0.2205 ... 0.1127	0.5259	-0.2205	0.1127	1.0	0.0	0.0539	male_age_middle	joint_1	testosterone_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_free_imputation_log	female_postmenopause_joint_1_testosterone_free_imputation_log	0.8902 (0.0661)	(rg: 0.8902; 95% CI: 0.7606 ... 1.0198)	1182374.0	0.8902	0.0661	0.129556	0.7606 ... 1.0198	2.495e-41	0.760644	1.019756	0.0	1.0	0.8902	female_postmenopause	joint_1	testosterone_free_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_free_imputation_log	male_age_middle_joint_1_testosterone_free_imputation_log	-0.0376 (0.0856)	(rg: -0.0376; 95% CI: -0.2054 ... 0.1302)	1182374.0	-0.0376	0.0856	0.16777599999999998	-0.2054 ... 0.1302	0.6606	-0.20537599999999998	0.130176	1.0	0.0	0.0376	male_age_middle	joint_1	testosterone_free_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_imputation_log	female_postmenopause_joint_1_testosterone_imputation_log	0.9432 (0.0884)	(rg: 0.9432; 95% CI: 0.7699 ... 1.1165)	1182374.0	0.9432	0.0884	0.173264	0.7699 ... 1.1165	1.4647e-26	0.7699360000000001	1.1164640000000001	0.0	1.0	0.9432	female_postmenopause	joint_1	testosterone_imputation_log
comparisons_sex_stage_life	female_perimenopause_joint_1_testosterone_imputation_log	male_age_middle_joint_1_testosterone_imputation_log	0.0842 (0.0916)	(rg: 0.0842; 95% CI: -0.0953 ... 0.2637)	1182374.0	0.0842	0.0916	0.179536	-0.0953 ... 0.2637	0.358	-0.095336	0.26373599999999997	1.0	0.0	0.0842	male_age_middle	joint_1	testosterone_imputation_log
comparisons_sex_stage_life	female_perimenopause_unadjust_albumin_imputation	female_postmenopause_unadjust_albumin_imputation	0.9461 (0.0792)	(rg: 0.9461; 95% CI: 0.7909 ... 1.1013)	1182374.0	0.9461	0.0792	0.155232	0.7909 ... 1.1013	6.2595e-33	0.790868	1.101332	0.0	1.0	0.9461	female_postmenopause	unadjust	albumin_imputation
comparisons_sex_stage_life	female_perimenopause_unadjust_albumin_imputation	male_age_middle_unadjust_albumin_imputation	0.9298 (0.1003)	(rg: 0.9298; 95% CI: 0.7332 ... 1.1264)	1182374.0	0.9298	0.1003	0.19658799999999998	0.7332 ... 1.1264	1.8945e-20	0.733212	1.126388	0.0	1.0	0.9298	male_age_middle	unadjust	albumin_imputation
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_bioavailable_imputation_log	female_postmenopause_unadjust_oestradiol_bioavailable_imputation_log	0.3387 (0.1466)	(rg: 0.3387; 95% CI: 0.0514 ... 0.626)	1182374.0	0.3387	0.1466	0.28733600000000004	0.0514 ... 0.626	0.0209	0.051363999999999965	0.626036	1.0	1.0	0.3387	female_postmenopause	unadjust	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_bioavailable_imputation_log	male_age_middle_unadjust_oestradiol_bioavailable_imputation_log	0.2748 (0.2279)	(rg: 0.2748; 95% CI: -0.1719 ... 0.7215)	1182374.0	0.2748	0.2279	0.44668399999999997	-0.1719 ... 0.7215	0.2281	-0.17188399999999998	0.721484	1.0	0.0	0.2748	male_age_middle	unadjust	oestradiol_bioavailable_imputation_log
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_detection	female_postmenopause_unadjust_oestradiol_detection	0.2243 (0.2489)	(rg: 0.2243; 95% CI: -0.2635 ... 0.7121)	1182372.0	0.2243	0.2489	0.487844	-0.2635 ... 0.7121	0.3676	-0.263544	0.712144	1.0	0.0	0.2243	female_postmenopause	unadjust	oestradiol_detection
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_detection	male_age_middle_unadjust_oestradiol_detection	0.1733 (0.2166)	(rg: 0.1733; 95% CI: -0.2512 ... 0.5978)	1182368.0	0.1733	0.2166	0.42453599999999997	-0.2512 ... 0.5978	0.4234	-0.25123599999999996	0.597836	1.0	0.0	0.1733	male_age_middle	unadjust	oestradiol_detection
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_free_imputation_log	female_postmenopause_unadjust_oestradiol_free_imputation_log	0.2303 (0.1478)	(rg: 0.2303; 95% CI: -0.0594 ... 0.52)	1182374.0	0.2303	0.1478	0.28968799999999995	-0.0594 ... 0.52	0.1193	-0.05938799999999994	0.5199879999999999	1.0	0.0	0.2303	female_postmenopause	unadjust	oestradiol_free_imputation_log
comparisons_sex_stage_life	female_perimenopause_unadjust_oestradiol_free_imputation_log	male_age_middle_unadjust_oestradiol_free_imputation_log	0.2394 (0.2071)	(rg: 0.2394; 95% CI: -0.1665 ... 0.6453)	1182374.0	0.2394	0.2071	0.405916	-0.1665 ... 0.6453	0.2475	-0.166516	0.645316	1.0	0.0	0.2394	male_age_middle	unadjust	oestradiol_free_imputation_log
