execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	model	model_sort	independence	model_note
1	female_premenopause	3	oestradiol_detection	1	logistic	14	14	albumin_imputation	marginal model
1	female_premenopause	3	oestradiol_detection	1	logistic	15	15	site_indicator_leeds;site_indicator_bristol;site_indicator_newcastle;site_indicator_nottingham;site_indicator_liverpool;site_indicator_sheffield;site_indicator_reading;site_indicator_hounslow;site_indicator_bury;site_indicator_croydon;site_indicator_birmingham;site_indicator_middlesborough;site_indicator_stoke;site_indicator_glasgow;site_indicator_cardiff;site_indicator_edinburgh;site_indicator_oxford;site_indicator_manchester;site_indicator_barts;site_indicator_stockport_pilot;site_indicator_swansea;site_indicator_wrexham	marginal model
1	female_premenopause	3	oestradiol_detection	1	logistic	16	16	menstruation_phase_cycle;age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
1	female_perimenopause	4	oestradiol_detection	1	logistic	1	1	age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
1	female_postmenopause	5	oestradiol_detection	1	logistic	1	1	oophorectomy	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	2	2	hysterectomy	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	3	3	age	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	4	4	body_log	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	5	5	season	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	6	6	day_length	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	7	7	region	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	8	8	medication_vitamin_d	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	9	9	alteration_sex_hormone	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	10	10	cholesterol_imputation	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	11	11	vitamin_d_imputation	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	12	12	testosterone_imputation	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	13	13	steroid_globulin_imputation	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	14	14	albumin_imputation	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	15	15	site_indicator_leeds;site_indicator_bristol;site_indicator_newcastle;site_indicator_nottingham;site_indicator_liverpool;site_indicator_sheffield;site_indicator_reading;site_indicator_hounslow;site_indicator_bury;site_indicator_croydon;site_indicator_birmingham;site_indicator_middlesborough;site_indicator_stoke;site_indicator_glasgow;site_indicator_cardiff;site_indicator_edinburgh;site_indicator_oxford;site_indicator_manchester;site_indicator_barts;site_indicator_stockport_pilot;site_indicator_swansea;site_indicator_wrexham	marginal model
1	female_postmenopause	5	oestradiol_detection	1	logistic	16	16	age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
1	male	6	oestradiol_detection	1	logistic	1	1	age	marginal model
1	male	6	oestradiol_detection	1	logistic	2	2	body_log	marginal model
1	male	6	oestradiol_detection	1	logistic	3	3	season	marginal model
1	male	6	oestradiol_detection	1	logistic	4	4	day_length	marginal model
1	male	6	oestradiol_detection	1	logistic	5	5	region	marginal model
1	male	6	oestradiol_detection	1	logistic	6	6	medication_vitamin_d	marginal model
1	male	6	oestradiol_detection	1	logistic	7	7	alteration_sex_hormone	marginal model
1	male	6	oestradiol_detection	1	logistic	8	8	cholesterol_imputation	marginal model
1	male	6	oestradiol_detection	1	logistic	9	9	vitamin_d_imputation	marginal model
1	male	6	oestradiol_detection	1	logistic	10	10	testosterone_imputation	marginal model
1	male	6	oestradiol_detection	1	logistic	11	11	steroid_globulin_imputation	marginal model
1	male	6	oestradiol_detection	1	logistic	12	12	albumin_imputation	marginal model
1	male	6	oestradiol_detection	1	logistic	13	13	site_indicator_leeds;site_indicator_bristol;site_indicator_newcastle;site_indicator_nottingham;site_indicator_liverpool;site_indicator_sheffield;site_indicator_reading;site_indicator_hounslow;site_indicator_bury;site_indicator_croydon;site_indicator_birmingham;site_indicator_middlesborough;site_indicator_stoke;site_indicator_glasgow;site_indicator_cardiff;site_indicator_edinburgh;site_indicator_oxford;site_indicator_manchester;site_indicator_barts;site_indicator_stockport_pilot;site_indicator_swansea;site_indicator_wrexham	marginal model
1	male	6	oestradiol_detection	1	logistic	14	14	age;body_log;season;region;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	joint model
