code_ukbiobank	medication_name	medication_category	code_atc	group_atc	Category	Coding a	Medication ATC code	Drug name
1140861998	Salbutamol	ventolin 100micrograms inhaler	R03AC02 |R03CC02		ventolin 100micrograms inhaler	1140861998	R03AC02 |R03CC02	Salbutamol
1140884600	Metformin	metformin	A10BA02		metformin	1140884600	A10BA02	Metformin
1140860696	Lisinopril	lisinopril	C09AA03		lisinopril	1140860696	C09AA03	Lisinopril
1140923346	Acetaminophen |Codeine	co-codamol	N02AJ06		co-codamol	1140923346	N02AJ06	Acetaminophen |Codeine
1140884488	Diclofenac	diclofenac	D11AX18 |M01AB05 |M02AA15 |S01BC03		diclofenac	1140884488	D11AX18 |M01AB05 |M02AA15 |S01BC03	Diclofenac
1140879616	Amitriptyline	amitriptyline	N06AA09		amitriptyline	1140879616	N06AA09	Amitriptyline
1140921600	Citalopram	citalopram	N06AB04		citalopram	1140921600	N06AB04	Citalopram
1140879406	Ranitidine	ranitidine	A02BA02		ranitidine	1140879406	A02BA02	Ranitidine
1140879760	Bisoprolol	bisoprolol	C07AB07		bisoprolol	1140879760	C07AB07	Bisoprolol
1140916682	Evening Primrose Oil	evening primrose oil	D11AX02		evening primrose oil	1140916682	D11AX02	Evening Primrose Oil
1140888560	Perindopril	perindopril	C09AA04		perindopril	1140888560	C09AA04	Perindopril
1140876592	Mineral |Multivitamin	multivitamin+mineral preparations	A11AA		multivitamin+mineral preparations	1140876592	A11AA	Mineral |Multivitamin
1187	Chondroitin Sulfate	chondroitin product	M01AX25		chondroitin product	1187	M01AX25	Chondroitin Sulfate
1140909726	Vitamin C	vitamin c product	A11GA		vitamin c product	1140909726	A11GA	Vitamin C
1140922174	Alendronic Acid	alendronate sodium	M05BA04		alendronate sodium	1140922174	M05BA04	Alendronic Acid
1140879778	Doxazosin	doxazosin	C02CA04		doxazosin	1140879778	C02CA04	Doxazosin
1140883504	Cetirizine	cetirizine	R06AE07		cetirizine	1140883504	R06AE07	Cetirizine
1141176832	Salmeterol |Fluticasone Propionate	seretide 50 evohaler	R03AK06		seretide 50 evohaler	1141176832	R03AK06	Salmeterol |Fluticasone Propionate
1140881856	Salbutamol	salbutamol	R03AC02 |R03CC02		salbutamol	1140881856	R03AC02 |R03CC02	Salbutamol
1140875408	Allopurinol	allopurinol	M04AA01		allopurinol	1140875408	M04AA01	Allopurinol
1140879540	Fluoxetine	fluoxetine	N06AB03		fluoxetine	1140879540	N06AB03	Fluoxetine
1141156836	Candesartan	candesartan cilexetil	C09CA06		candesartan cilexetil	1141156836	C09CA06	Candesartan
1140884516	Levothyroxine	thyroxine product	H03AA01		thyroxine product	1140884516	H03AA01	Levothyroxine
1140864992	Tramadol	tramadol	N02AX02		tramadol	1140864992	N02AX02	Tramadol
1140883066	Insulin	insulin product	A10A		insulin product	1140883066	A10A	Insulin
1140871050	Cholecalciferol |Calcium Carbonate	calcichew d3 tablet	A12AX		calcichew d3 tablet	1140871050	A12AX	Cholecalciferol |Calcium Carbonate
1140888266	Warfarin	warfarin	B01AA03		warfarin	1140888266	B01AA03	Warfarin
1140916356	Losartan	losartan	C09CA01		losartan	1140916356	C09CA01	Losartan
1140874744	Gliclazide	gliclazide	A10BB09		gliclazide	1140874744	A10BB09	Gliclazide
1140926934	Tamsulosin	tamsulosin	G04CA02		tamsulosin	1140926934	G04CA02	Tamsulosin
1140909786	Beclomethasone Dipropionate	beclometasone	A07EA07 |D07AC15 |R01AD01 |R03BA01		beclometasone	1140909786	A07EA07 |D07AC15 |R01AD01 |R03BA01	Beclomethasone Dipropionate
1140870422	Folic Acid	folic acid product	B03BB01		folic acid product	1140870422	B03BB01	Folic Acid
1140888646	Felodipine	felodipine	C08CA02		felodipine	1140888646	C08CA02	Felodipine
1141164828	Cholecalciferol |Calcium Carbonate	adcal-d3 1.5g/10micrograms chewable tablet	A12AX		adcal-d3 1.5g/10micrograms chewable tablet	1141164828	A12AX	Cholecalciferol |Calcium Carbonate
1141152998	Irbesartan	irbesartan	C09CA04		irbesartan	1141152998	C09CA04	Irbesartan
1140888552	Enalapril	enalapril	C09AA02		enalapril	1140888552	C09AA02	Enalapril
1140909708	Furosemide	furosemide	C03CA01		furosemide	1140909708	C03CA01	Furosemide
1140862772	Loratadine	loratadine	R06AX13		loratadine	1140862772	R06AX13	Loratadine
1140871024	Vitamin B	vitamin b compound tablet	A11EA		vitamin b compound tablet	1140871024	A11EA	Vitamin B
1141146138	Atorvastatin	lipitor 10mg tablet	C10AA05		lipitor 10mg tablet	1141146138	C10AA05	Atorvastatin
1140871462	Naproxen	naproxen	G02CC02 |M01AE02 |M02AA12		naproxen	1140871462	G02CC02 |M01AE02 |M02AA12	Naproxen
1141168318	Clopidogrel	clopidogrel	B01AC04		clopidogrel	1141168318	B01AC04	Clopidogrel
1140879842	Propranolol	propranolol	C07AA05		propranolol	1140879842	C07AA05	Propranolol
1140874420	Quinine	quinine	P01BC01		quinine	1140874420	P01BC01	Quinine
1140888538	Zinc	zinc product	A12CB		zinc product	1140888538	A12CB	Zinc
1140876136	Beclomethasone Dipropionate	beconase 50micrograms nasal spray	R01AD01		beconase 50micrograms nasal spray	1140876136	R01AD01	Beclomethasone Dipropionate
1140926606	Salbutamol	salbutamol 100micrograms spacehaler	R03AC02		salbutamol 100micrograms spacehaler	1140926606	R03AC02	Salbutamol
1140861806	Acetylsalicylic Acid	aspirin 75mg tablet	A01AD05 |B01AC06 |N02BA01		aspirin 75mg tablet	1140861806	A01AD05 |B01AC06 |N02BA01	Acetylsalicylic Acid
1140923350	Acetaminophen |Dihydrocodeine	co-dydramol	N02AJ01		co-dydramol	1140923350	N02AJ01	Acetaminophen |Dihydrocodeine
1141192410	Rosuvastatin	rosuvastatin	C10AA07		rosuvastatin	1141192410	C10AA07	Rosuvastatin
1141174520	Formoterol |Budesonide	symbicort 100/6 turbohaler	R03AK07		symbicort 100/6 turbohaler	1141174520	R03AK07	Formoterol |Budesonide
1140862382	Beclomethasone Dipropionate	becotide 50 inhaler	R03BA01		becotide 50 inhaler	1140862382	R03BA01	Beclomethasone Dipropionate
1140870788	Calcium	calcium salts	A12AA20		calcium salts	1140870788	A12AA20	Calcium
1141192736	Ezetimibe	ezetimibe	C10AX09		ezetimibe	1141192736	C10AX09	Ezetimibe
1140874930	Prednisolone	prednisolone	A07EA01 |C05AA04 |D07AA03 |D07XA02 |H02AB06 |R01AD02 |S01BA04 |S01CB02 |S02BA03 |S03BA02		prednisolone	1140874930	A07EA01 |C05AA04 |D07AA03 |D07XA02 |H02AB06 |R01AD02 |S01BA04 |S01CB02 |S02BA03 |S03BA02	Prednisolone
1140870390	Iron	ferrous sulphate	B03AA07		ferrous sulphate	1140870390	B03AA07	Iron
1140866122	Bendroflumethiazide	bendrofluazide	C03AA01		bendrofluazide	1140866122	C03AA01	Bendroflumethiazide
1140911734	Ginkgo Biloba	ginkgo forte tablet	N06DX02		ginkgo forte tablet	1140911734	N06DX02	Ginkgo Biloba
1140869848	Methotrexate	methotrexateb	L01BA01 |L04AX03		methotrexateb	1140869848	L01BA01 |L04AX03	Methotrexate
1140865354	Sodium Bicarbonate |Calcium Carbonate |Alginic Acid	gaviscon liquid	A02BX13		gaviscon liquid	1140865354	A02BX13	Sodium Bicarbonate |Calcium Carbonate |Alginic Acid
1140888648	Pravastatin	pravastatin	C10AA03		pravastatin	1140888648	C10AA03	Pravastatin
1140884444	Codeine	codeine	R05DA04		codeine	1140884444	R05DA04	Codeine
1141150944	Mometasone	nasonex 0.05% aqueous nasal spray	R01AD09		nasonex 0.05% aqueous nasal spray	1141150944	R01AD09	Mometasone
1140879428	Mebeverine	mebeverine	A03AA04		mebeverine	1140879428	A03AA04	Mebeverine
1140872228	Gabapentin	gabapentin	N03AX12		gabapentin	1140872228	N03AX12	Gabapentin
1141145660	Valsartan	valsartan	C09CA03		valsartan	1141145660	C09CA03	Valsartan
1140888098	Fluticasone Propionate	fluticasone	D07AC17 |R01AD08 |R03BA05		fluticasone	1140888098	D07AC17 |R01AD08 |R03BA05	Fluticasone Propionate
1140867878	Sertraline	sertraline	N06AB06		sertraline	1140867878	N06AB06	Sertraline
1140852948	Cholecalciferol |Calcium Carbonate	calcium+vitamin d 500units tablet	A12AX		calcium+vitamin d 500units tablet	1140852948	A12AX	Cholecalciferol |Calcium Carbonate
1140916282	Venlafaxine	venlafaxine	N06AX16		venlafaxine	1140916282	N06AX16	Venlafaxine
1140868408	Conjugated Estrogens	premarin 625micrograms tablet	G03CA57	G03	premarin 625micrograms tablet	1140868408	G03CA57	Conjugated Estrogens
1140876076	Fluticasone Propionate	flixonase 50micrograms aqueous nasal spray	R01AD08		flixonase 50micrograms aqueous nasal spray	1140876076	R01AD08	Fluticasone Propionate
1140884654	Beclomethasone Dipropionate	beclomethasone	A07EA07 |D07AC15 |R01AD01 |R03BA01		beclomethasone	1140884654	A07EA07 |D07AC15 |R01AD01 |R03BA01	Beclomethasone Dipropionate
1141167594	Beclomethasone Dipropionate	qvar 50 inhaler	R03BA01		qvar 50 inhaler	1141167594	R03BA01	Beclomethasone Dipropionate
1140868550	Finasteride	finasteride	D11AX10 |G04CB01		finasteride	1140868550	D11AX10 |G04CB01	Finasteride
1140870954	Vitamin D	vitamin d product	A11CC	A11CC	vitamin d product	1140870954	A11CC	Vitamin D
1140871112	Vitamin E	vitamin e product	A11HA		vitamin e product	1140871112	A11HA	Vitamin E
1189	Ubidecarenone	co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	C01EB09		co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	1189	C01EB09	Ubidecarenone
1140866078	Indapamide	indapamide	C03BA11		indapamide	1140866078	C03BA11	Indapamide
1140863144	Zopiclone	zopiclone	N05CF01		zopiclone	1140863144	N05CF01	Zopiclone
1140884464	Dihydrocodeine	dihydrocodeine	N02AA08		dihydrocodeine	1140884464	N02AA08	Dihydrocodeine
1140909806	Dosulepin	dosulepin	N06AA16		dosulepin	1140909806	N06AA16	Dosulepin
1140882694	Betamethasone	betnovate cream	D07AC01		betnovate cream	1140882694	D07AC01	Betamethasone
1141177526	Esomeprazole	esomeprazole	A02BC05		esomeprazole	1141177526	A02BC05	Esomeprazole
1141146428	Fexofenadine	fexofenadine	R06AX26		fexofenadine	1141146428	R06AX26	Fexofenadine
1140870164	Tamoxifen	tamoxifen	L02BA01		tamoxifen	1140870164	L02BA01	Tamoxifen
1140860954	Isosorbide Mononitrate	isosorbide mononitrate	C01DA14		isosorbide mononitrate	1140860954	C01DA14	Isosorbide Mononitrate
1140867888	Paroxetine	paroxetine	N06AB05		paroxetine	1140867888	N06AB05	Paroxetine
1140870570	Cyanocobalamin	vitamin b12 preparation	B03BA		vitamin b12 preparation	1140870570	B03BA	Cyanocobalamin
1140879464	Loperamide	loperamide	A07DA03		loperamide	1140879464	A07DA03	Loperamide
1140910766	Nicorandil	nicorandil	C01DX16		nicorandil	1140910766	C01DX16	Nicorandil
1140925800	Potassium Chloride |Sodium Bicarbonate |Sodium Chloride |Polyethylene Glycol	movicol oral powder	A06AD65		movicol oral powder	1140925800	A06AD65	Potassium Chloride |Sodium Bicarbonate |Sodium Chloride |Polyethylene Glycol
1140888386	Iron	iron product	B03A		iron product	1140888386	B03A	Iron
1141171948	Calcium Carbonate	adcal 600mg chewable tablet	A12AA04		adcal 600mg chewable tablet	1141171948	A12AA04	Calcium Carbonate
1140862086	Salbutamol	salamol 100micrograms inhaler	R03AC02		salamol 100micrograms inhaler	1140862086	R03AC02	Salbutamol
1140888688	Betahistine	betahistine	N07CA01		betahistine	1140888688	N07CA01	Betahistine
1140883748	Selenium	selenium product	A12CE		selenium product	1140883748	A12CE	Selenium
1140860834	Nitroglycerin	glyceryl trinitrate	C01DA02 |C05AE01		glyceryl trinitrate	1140860834	C01DA02 |C05AE01	Nitroglycerin
1140868472	Estradiol	vagifem 25mcg pessary	G03CA03	G03	vagifem 25mcg pessary	1140868472	G03CA03	Estradiol
1141152732	Mirtazapine	mirtazapine	N06AX11		mirtazapine	1141152732	N06AX11	Mirtazapine
1140873548	Oxytetracycline	oxytetracycline	D06AA03 |G01AA07 |J01AA06 |S01AA04		oxytetracycline	1140873548	D06AA03 |G01AA07 |J01AA06 |S01AA04	Oxytetracycline
1141146198	Latanoprost	xalatan 0.005% eye drops	S01EE01		xalatan 0.005% eye drops	1141146198	S01EE01	Latanoprost
1140926732	Meloxicam	meloxicam	M01AC06		meloxicam	1140926732	M01AC06	Meloxicam
1140863152	Diazepam	diazepam	N05BA01		diazepam	1140863152	N05BA01	Diazepam
1195	Vitamin C	vitamin c product	A11GA |S01XA15 |G01AD03		vitamin c product	1195	A11GA |S01XA15 |G01AD03	Vitamin C
1140884412	Sumatriptan	sumatriptan	N02CC01		sumatriptan	1140884412	N02CC01	Sumatriptan
1140862476	Beclomethasone Dipropionate	beclazone 50 inhaler	R03BA01		beclazone 50 inhaler	1140862476	R03BA01	Beclomethasone Dipropionate
1140874852	Levothyroxine	thyroxine sodium	H03AA01		thyroxine sodium	1140874852	H03AA01	Levothyroxine
1140865800	Lactulose	lactulose product	A06AD11		lactulose product	1140865800	A06AD11	Lactulose
1141153026	Lercanidipine	lercanidipine	C08CA13		lercanidipine	1141153026	C08CA13	Lercanidipine
1140862148	Salmeterol	serevent 25mcg inhaler	R03AC12		serevent 25mcg inhaler	1140862148	R03AC12	Salmeterol
2038459814	Digoxin	digoxin	C01AA05		digoxin	2038459814	C01AA05	Digoxin
1140862144	Salmeterol	salmeterol	R03AC12		salmeterol	1140862144	R03AC12	Salmeterol
1141182628	Tiotropium	tiotropium	R03BB04		tiotropium	1141182628	R03BB04	Tiotropium
1141182800	Desogestrel	cerazette 75micrograms tablet	G03AC09	G03	cerazette 75micrograms tablet	1141182800	G03AC09	Desogestrel
1140861088	Nifedipine	nifedipine	C08CA05		nifedipine	1140861088	C08CA05	Nifedipine
1140851812	Nitroglycerin	gtn 400micrograms spray	C05AE01		gtn 400micrograms spray	1140851812	C05AE01	Nitroglycerin
1140879774	Alfuzosin	alfuzosin	G04CA01		alfuzosin	1140879774	G04CA01	Alfuzosin
1140861090	Nifedipine	adalat 5mg capsule	C08CA05		adalat 5mg capsule	1140861090	C08CA05	Nifedipine
1140865010	Carbomer 980	viscotears liquid eye gel	S01XA20		viscotears liquid eye gel	1140865010	S01XA20	Carbomer 980
1140870856	Calcium Carbonate	calcichew 1.25g chewable tablet	A12AA04		calcichew 1.25g chewable tablet	1140870856	A12AA04	Calcium Carbonate
1140883568	Oxybutynin	oxybutynin	G04BD04		oxybutynin	1140883568	G04BD04	Oxybutynin
1141200004	Pregabalin	pregabalin	N03AX16		pregabalin	1141200004	N03AX16	Pregabalin
1140862168	Terbutaline	bricanyl 250mcg inhaler	R03AC03		bricanyl 250mcg inhaler	1140862168	R03AC03	Terbutaline
1141171646	Pioglitazone	pioglitazone	A10BG03		pioglitazone	1141171646	A10BG03	Pioglitazone
1141146188	Latanoprost	latanoprost	S01EE01		latanoprost	1141146188	S01EE01	Latanoprost
1141145812	Magnesium	minerals - magnesium	A12CC		minerals - magnesium	1141145812	A12CC	Magnesium
1140872072	Carbamazepine	tegretol 100mg tablet	N03AF01		tegretol 100mg tablet	1140872072	N03AF01	Carbamazepine
1197	Evening Primrose Oil	evening primrose oil product	D11AX02		evening primrose oil product	1197	D11AX02	Evening Primrose Oil
1140869930	Azathioprine	azathioprine	L04AX01		azathioprine	1140869930	L04AX01	Azathioprine
1140862572	Budesonide	budesonide	A07EA06 |D07AC09 |R01AD05 |R03BA02		budesonide	1140862572	A07EA06 |D07AC09 |R01AD05 |R03BA02	Budesonide
1140879430	Domperidone	domperidone	A03FA03		domperidone	1140879430	A03FA03	Domperidone
1140879806	Diltiazem	diltiazem	C05AE03 |C08DB01		diltiazem	1140879806	C05AE03 |C08DB01	Diltiazem
1141180036	Plantago Seed	fybogel orange s/f granules	A06AC01		fybogel orange s/f granules	1141180036	A06AC01	Plantago Seed
1140888172	Mometasone	mometasone	D07AC13 |D07XC03 |R01AD09 |R03BA07		mometasone	1140888172	D07AC13 |D07XC03 |R01AD09 |R03BA07	Mometasone
1140865716	Senna Glycoside	senna	A06AB06		senna	1140865716	A06AB06	Senna Glycoside
1140863202	Temazepam	temazepam	N05CD07		temazepam	1140863202	N05CD07	Temazepam
1140927328	Terbinafine	terbinafine	D01AE15 |D01BA02		terbinafine	1140927328	D01AE15 |D01BA02	Terbinafine
1141168326	Norethisterone |Estradiol	kliovance 1mg/0.5mg tablet	G03FA01	G03	kliovance 1mg/0.5mg tablet	1141168326	G03FA01	Norethisterone |Estradiol
1141162764	Tolterodine	tolterodine l-tartrate	G04BD07		tolterodine l-tartrate	1141162764	G04BD07	Tolterodine
1140861128	Diltiazem	tildiem 60mg m/r tablet	C08DB01		tildiem 60mg m/r tablet	1140861128	C08DB01	Diltiazem
1141157126	Montelukast	montelukast product	R03DC03		montelukast product	1141157126	R03DC03	Montelukast
1141156644	Norethisterone |Estradiol	elleste duet conti tablet	G03FA01	G03	elleste duet conti tablet	1141156644	G03FA01	Norethisterone |Estradiol
1141175684	Risedronate	risedronate sodium	M05BA07		risedronate sodium	1141175684	M05BA07	Risedronate
1141168936	Sildenafil	sildenafil	G04BE03		sildenafil	1141168936	G04BE03	Sildenafil
1140866236	Spironolactone	spironolactone	C03DA01		spironolactone	1140866236	C03DA01	Spironolactone
1141192916	Beclomethasone Dipropionate	rino clenil 50micrograms nasal spray	R01AD01		rino clenil 50micrograms nasal spray	1141192916	R01AD01	Beclomethasone Dipropionate
1140879818	Metoprolol	metoprolol	C07AB02		metoprolol	1140879818	C07AB02	Metoprolol
1140929012	Pantoprazole	pantoprazole	A02BC02		pantoprazole	1140929012	A02BC02	Pantoprazole
1140909702	Sulfasalazine	sulfasalazine	A07EC01		sulfasalazine	1140909702	A07EC01	Sulfasalazine
1141192740	Ezetimibe	ezetrol 10mg tablet	C10AX09		ezetrol 10mg tablet	1141192740	C10AX09	Ezetimibe
1141181700	Estradiol	estradiol product	G03CA	G03	estradiol product	1141181700	G03CA	Estradiol
1140922804	Conjugated Estrogens |Medroxyprogesterone Acetate	premique 0.625mg/5mg tablet	G03FA12	G03	premique 0.625mg/5mg tablet	1140922804	G03FA12	Conjugated Estrogens |Medroxyprogesterone Acetate
1140874896	Hydrocortisone	hydrocortisone	A01AC03 |A07EA02 |C05AA01 |D07AA02 |D07XA01 |H02AB09 |S01BA02 |S01CB03 |S02BA01		hydrocortisone	1140874896	A01AC03 |A07EA02 |C05AA01 |D07AA02 |D07XA01 |H02AB09 |S01BA02 |S01CB03 |S02BA01	Hydrocortisone
1140875990	Hypromellose	hypromellose	S01KA02		hypromellose	1140875990	S01KA02	Hypromellose
1140861778	Dipyridamole	dipyridamole	B01AC07		dipyridamole	1140861778	B01AC07	Dipyridamole
1141146606	Cholecalciferol |Calcium Carbonate	calcium carbonate+cholecalciferol 1.25g/200iu tablet	A12AX		calcium carbonate+cholecalciferol 1.25g/200iu tablet	1141146606	A12AX	Cholecalciferol |Calcium Carbonate
1141164086	Salmeterol |Fluticasone Propionate	salmeterol+fluticasone propionate	R03AK06		salmeterol+fluticasone propionate	1141164086	R03AK06	Salmeterol |Fluticasone Propionate
1141168584	Rabeprazole	rabeprazole sodium	A02BC04		rabeprazole sodium	1141168584	A02BC04	Rabeprazole
1140888510	Verapamil	verapamil	C08DA01		verapamil	1140888510	C08DA01	Verapamil
1141180212	Escitalopram	escitalopram	N06AB10		escitalopram	1141180212	N06AB10	Escitalopram
1140866116	Furosemide	frusemide	C03CA01		frusemide	1140866116	C03CA01	Furosemide
1140923022	Anastrozole	arimidex 1mg tablet	L02BG03		arimidex 1mg tablet	1140923022	L02BG03	Anastrozole
1141200322	Solifenacin	solifenacin	G04BD08		solifenacin	1141200322	G04BD08	Solifenacin
1201	St. John'S Wort	st john's wort/hypericum [ctsu]	N06AX25		st john's wort/hypericum [ctsu]	1201	N06AX25	St. John'S Wort
1140868482	Tibolone	tibolone	G03CX01	G03	tibolone	1140868482	G03CX01	Tibolone
1140923852	Estradiol	elleste-solo 1mg tablet	G03CA03	G03	elleste-solo 1mg tablet	1140923852	G03CA03	Estradiol
1141177532	Esomeprazole	nexium 20mg tablet	A02BC05		nexium 20mg tablet	1141177532	A02BC05	Esomeprazole
1140923670	Nitroglycerin	gtn - glyceryl trinitrate	C01DA02		gtn - glyceryl trinitrate	1140923670	C01DA02	Nitroglycerin
1140888570	Flecainide	flecainide	C01BC04		flecainide	1140888570	C01BC04	Flecainide
1140864286	Fluticasone Propionate	flixotide 25micrograms inhaler	R03BA05		flixotide 25micrograms inhaler	1140864286	R03BA05	Fluticasone Propionate
1140872200	Valproic Acid	epilim 100mg crushable tablet	N03AG01		epilim 100mg crushable tablet	1140872200	N03AG01	Valproic Acid
1140878226	No Active Ingredients	diprobase cream	D02AX		diprobase cream	1140878226	D02AX	No Active Ingredients
1140921814	Levonorgestrel	mirena 52mg intrauterine system	G02BA03		mirena 52mg intrauterine system	1140921814	G02BA03	Levonorgestrel
1140911658	Sumatriptan	imigran 50mg tablet	N02CC01		imigran 50mg tablet	1140911658	N02CC01	Sumatriptan
1140911730	Linseed Oil	flax oil tablet	A06AC05		flax oil tablet	1140911730	A06AC05	Linseed Oil
1141166006	Telmisartan	telmisartan	C09CA07		telmisartan	1141166006	C09CA07	Telmisartan
1140922562	Dydrogesterone |Estradiol	femoston 1/10 tablet	G03FB08	G03	femoston 1/10 tablet	1140922562	G03FB08	Dydrogesterone |Estradiol
1140874790	Betamethasone	betamethasone	A07EA04 |C05AA05 |D07AC01 |D07XC01 |H02AB01 |R01AD06 |R03BA04 |S01BA06 |S01CB04 |S02BA07 |S03BA03		betamethasone	1140874790	A07EA04 |C05AA05 |D07AC01 |D07XC01 |H02AB01 |R01AD06 |R03BA04 |S01BA06 |S01CB04 |S02BA07 |S03BA03	Betamethasone
1140884308	Hydroxychloroquine	hydroxychloroquine	P01BA02		hydroxychloroquine	1140884308	P01BA02	Hydroxychloroquine
1141157486	Salbutamol	salbutamol product	R03AC02 |R03CC02		salbutamol product	1141157486	R03AC02 |R03CC02	Salbutamol
2038459704	Carbamazepine	carbamazepine	N03AF01		carbamazepine	2038459704	N03AF01	Carbamazepine
1140916790	Estradiol	evorel 25 patch	G03CA03	G03	evorel 25 patch	1140916790	G03CA03	Estradiol
1140862628	Chlorphenamine	piriton 4mg tablet	R06AB04		piriton 4mg tablet	1140862628	R06AB04	Chlorphenamine
1140862574	Budesonide	pulmicort ls 50micrograms inhaler	R03BA02		pulmicort ls 50micrograms inhaler	1140862574	R03BA02	Budesonide
1140881472	No Active Ingredients	lacri-lube eye ointment	S01XA20		lacri-lube eye ointment	1140881472	S01XA20	No Active Ingredients
1141162824	Tolterodine	detrusitol 1mg tablet	G04BD07		detrusitol 1mg tablet	1141162824	G04BD07	Tolterodine
1140879854	Sotalol	sotalol	C07AA07		sotalol	1140879854	C07AA07	Sotalol
1140882782	Clobetasol Propionate	dermovate cream	D07AD01		dermovate cream	1140882782	D07AD01	Clobetasol Propionate
1140857636	Conjugated Estrogens |Norgestrel	prempak 0.625 tablet	G03FA10	G03	prempak 0.625 tablet	1140857636	G03FA10	Conjugated Estrogens |Norgestrel
1140926592	Estradiol	estraderm mx 25 patch	G03CA03	G03	estraderm mx 25 patch	1140926592	G03CA03	Estradiol
1140879792	Terbutaline	terbutaline	R03AC03 |R03CC03		terbutaline	1140879792	R03AC03 |R03CC03	Terbutaline
1140883664	Pizotifen	pizotifen	N02CX01		pizotifen	1140883664	N02CX01	Pizotifen
1140911680	Gamolenic Acid	starflower oil	D11AX02		starflower oil	1140911680	D11AX02	Gamolenic Acid
1141177600	Rosiglitazone	rosiglitazone	A10BG02		rosiglitazone	1141177600	A10BG02	Rosiglitazone
1140865350	Mebeverine |Plantago Seed	fybogel mebeverine sachet	A06AC51		fybogel mebeverine sachet	1140865350	A06AC51	Mebeverine |Plantago Seed
1140865580	Mesalazine	asacol 400mg e/c tablet	A07EC02		asacol 400mg e/c tablet	1140865580	A07EC02	Mesalazine
1140923336	Chlorthalidone |Atenolol	co-tenidone	C07CB03		co-tenidone	1140923336	C07CB03	Chlorthalidone |Atenolol
1140921822	Levonorgestrel	mirena 20mcg/24hrs intrauterine system	G02BA03		mirena 20mcg/24hrs intrauterine system	1140921822	G02BA03	Levonorgestrel
1141182632	Tiotropium	spiriva 18micrograms inhalation capsule	R03BB04		spiriva 18micrograms inhalation capsule	1141182632	R03BB04	Tiotropium
1140865578	Mesalazine	mesalazine	A07EC02		mesalazine	1140865578	A07EC02	Mesalazine
1140869180	Levonorgestrel |Ethinyl Estradiol	microgynon 30 tablet	G03AA07	G03	microgynon 30 tablet	1140869180	G03AA07	Levonorgestrel |Ethinyl Estradiol
1140861954	Fenofibrate	fenofibrate	C10AB05		fenofibrate	1140861954	C10AB05	Fenofibrate
1140888366	Thiamine	thiamine preparation	A11DA01		thiamine preparation	1140888366	A11DA01	Thiamine
1140871266	Diclofenac |Misoprostol	arthrotec tablet	M01AB55		arthrotec tablet	1140871266	M01AB55	Diclofenac |Misoprostol
1140869276	Norethisterone	micronor tablet	G03AC01	G03	micronor tablet	1140869276	G03AC01	Norethisterone
1140868170	Prochlorperazine	prochlorperazine	N05AB04		prochlorperazine	1140868170	N05AB04	Prochlorperazine
1140879634	Trazodone	trazodone	N06AX05		trazodone	1140879634	N06AX05	Trazodone
1140861832	Tranexamic Acid	tranexamic acid	B02AA02		tranexamic acid	1140861832	B02AA02	Tranexamic Acid
1141188146	Simvastatin	simvador 10mg tablet	C10AA01		simvador 10mg tablet	1141188146	C10AA01	Simvastatin
1141172924	Desloratadine	desloratadine	R06AX27		desloratadine	1141172924	R06AX27	Desloratadine
